0.96,1.02,3
4.22,-2.84,1
-6.11,6.55,0
-6.37,6.63,1
8.8,-8.89,3
-6.27,1.34,3
8.58,-5.49,0
-4.84,7.07,0
5.3,2.93,2
8.28,9.14,2
6.32,6.97,0
1.33,-4.18,1
-3.49,-0.29,3
9.44,9.19,3
8.36,1.67,1
-4.53,9.0,1
0.01,-7.77,3
1.97,1.12,3
6.28,0.92,3
1.19,1.93,1
-6.37,1.82,0
8.57,6.88,3
-0.77,-0.46,3
-1.0,-1.6,2
2.94,-7.09,3
-4.11,-5.17,1
-4.1,3.74,1
-6.52,4.66,3
2.69,-8.77,1
7.67,5.27,0
-8.86,-4.44,0
-9.69,6.89,2
9.08,-3.92,1
8.36,3.41,1
-6.99,-1.03,2
-0.88,-0.51,3
-0.01,-0.84,2
-7.43,5.45,1
-5.39,-5.18,2
2.92,-8.69,2
-9.26,-5.71,2
9.59,-3.49,2
1.74,0.73,2
-9.48,8.64,3
6.22,-6.75,2
-1.21,7.94,1
1.88,5.82,0
-4.59,2.73,3
3.65,-2.53,1
-5.55,-8.1,2
-1.31,0.15,2
9.04,5.75,1
2.56,-4.14,2
-5.78,5.82,2
8.47,-6.63,1
-2.45,0.13,3
-0.39,-0.08,3
-5.18,-9.39,1
-2.05,-4.83,0
-0.2,-4.31,0
4.44,-5.0,1
-7.49,-3.67,1
6.24,4.66,2
4.05,-6.27,2
1.28,4.4,2
-4.58,0.08,3
9.02,4.48,1
-0.97,-1.94,3
0.35,9.15,0
4.14,-6.43,2
-7.4,-8.35,2
4.19,4.5,1
8.03,2.53,0
0.04,6.44,2
-0.06,8.95,0
-9.98,3.88,1
3.19,-9.97,2
7.05,1.59,2
-7.97,-2.93,1
2.03,-5.88,3
5.5,-7.09,3
-7.91,2.24,2
0.34,-5.25,1
-9.69,-0.06,3
-7.58,-1.85,0
9.89,-7.02,1
1.94,7.86,1
8.69,5.91,3
6.24,-0.66,2
1.67,-2.39,0
-8.92,1.22,0
-4.76,0.85,0
-4.46,-3.55,0
-5.43,3.58,1
-9.86,-4.16,1
0.6,6.77,0
2.54,8.93,2
2.25,-3.62,0
-4.8,-7.83,3
-9.66,1.34,3
-0.07,-6.53,0
-7.22,-8.65,0
-8.41,8.6,1
-5.06,-9.21,3
-2.01,-0.5,2
1.75,-7.9,3
2.83,6.03,1
-0.39,4.33,2
-3.6,5.85,1
-4.63,-1.84,0
8.61,8.62,3
6.65,3.01,2
1.14,2.59,3
4.79,-2.11,3
-7.11,-2.46,0
-0.07,3.68,0
-9.2,5.56,0
6.91,6.25,1
0.18,1.9,3
9.25,-1.85,1
0.52,-5.99,3
-1.28,8.04,3
7.45,-6.45,0
-9.11,-3.7,0
0.49,9.84,3
-0.75,-0.13,1
0.58,-3.29,2
0.5,-4.97,0
8.01,-9.79,3
5.23,-5.22,0
5.78,9.57,2
-0.7,4.09,1
-6.37,-1.72,2
3.86,-5.37,3
-2.43,2.42,0
-3.81,5.95,1
-6.12,-1.38,1
9.92,6.12,2
-8.83,8.17,2
4.61,-3.6,3
-3.23,-1.59,3
7.7,5.58,1
-7.56,0.21,0
0.21,-2.05,2
-1.36,-5.44,2
5.69,-5.06,0
8.22,9.21,3
-0.98,6.22,1
-6.3,7.33,2
8.8,-0.45,0
0.09,-5.32,3
-4.75,-1.95,2
6.58,-0.78,1
-5.26,-8.58,3
-6.36,8.6,2
9.67,-7.0,0
3.87,3.66,0
-6.02,-0.72,0
-5.96,1.63,3
2.74,3.99,1
7.93,5.8,0
8.84,-5.5,1
-7.65,-1.0,2
-9.65,-6.68,3
-6.89,-1.45,2
-5.78,1.74,3
7.21,0.07,0
-5.38,-1.57,0
3.51,1.66,2
9.9,6.9,3
-7.12,6.99,1
-9.69,-8.24,0
-9.71,6.86,3
-1.64,-9.13,2
3.51,-9.27,3
1.98,0.92,3
6.89,-5.34,3
-1.17,6.09,1
-1.27,2.75,2
8.59,9.78,1
0.44,5.86,2
-0.77,-6.42,0
-10.0,2.26,0
5.59,4.37,1
5.06,-7.56,2
1.07,-5.72,0
-1.78,5.7,2
-2.79,1.25,3
-5.02,-8.67,2
-9.22,-6.77,0
3.43,1.29,1
0.63,-5.11,1
-9.05,0.56,1
-7.64,0.33,3
-0.57,5.12,2
9.36,4.03,1
6.97,-8.76,3
-6.88,1.91,2
5.53,0.33,3
4.23,-4.62,0
1.94,1.99,0
-2.58,-1.24,1
0.01,5.62,1
-7.96,0.83,2
-6.31,6.86,0
4.84,-3.23,3
-1.76,2.74,3
-3.16,-9.4,1
5.31,2.7,2
-7.34,4.08,0
-8.19,9.4,0
-9.16,9.21,2
-2.58,-5.94,3
8.38,-7.18,2
0.05,-0.88,3
-7.78,9.79,3
9.98,8.08,1
-4.7,-3.67,2
3.94,-0.73,3
-1.48,1.25,1
1.24,-4.86,2
6.42,8.02,3
2.87,1.93,0
1.1,-9.09,3
-7.46,7.79,1
-0.88,-6.57,1
7.3,0.89,2
-9.85,-6.0,0
-3.35,7.66,2
5.66,9.09,0
7.43,-2.44,3
-1.32,0.98,3
-8.82,-5.98,0
1.41,6.98,3
-6.72,0.39,2
-2.15,4.41,2
4.78,6.91,2
7.46,-3.99,2
-5.52,-3.67,3
-5.71,7.74,3
-0.62,-2.37,3
0.9,-3.09,1
-4.24,-7.87,2
2.41,9.87,1
-7.99,5.9,3
0.62,-3.09,2
0.11,-4.49,1
-9.13,8.9,3
-1.03,3.22,0
-9.19,-1.76,2
2.6,2.47,0
9.05,3.62,0
-9.83,0.3,3
1.32,8.21,3
