-1.16,6.88
-0.29,4.32
4.26,8.51
-0.67,7.78
1.98,2.51
-0.49,9.24
1.21,5.73
1.34,7.99
1.13,8.04
2.98,7.73
1.64,7.77
2.07,7.01
0.66,3.43
-1.93,3.79
0.18,4.05
1.0,4.03
2.97,3.16
1.24,2.47
2.03,9.42
0.19,3.94
1.29,4.21
-1.2,4.49
1.84,5.99
-1.33,3.46
2.34,7.38
-2.92,5.01
-1.78,6.77
-1.55,8.23
1.17,7.63
2.59,6.67
-1.14,6.72
2.08,9.37
-0.32,9.62
0.38,9.43
-0.44,3.33
-0.13,2.75
-0.15,6.77
3.45,2.39
-1.62,9.54
4.73,3.46
-1.06,4.57
3.09,7.98
3.44,6.29
2.92,9.04
0.15,5.56
3.39,9.58
-2.17,5.06
-1.33,8.56
0.47,3.33
0.78,9.86
-1.17,9.01
1.73,8.44
-0.68,7.96
-0.84,9.99
2.24,6.41
-1.47,9.32
-1.35,5.48
-0.96,2.61
-2.5,7.55
3.39,5.38
4.25,2.23
3.38,2.26
-2.41,7.52
-1.07,7.46
0.38,2.25
2.58,3.28
1.88,6.46
2.55,6.97
1.76,8.0
4.34,4.69
-2.64,9.42
-0.92,6.15
-1.77,3.89
0.37,3.45
3.75,6.09
1.57,6.5
3.91,9.5
0.69,5.46
4.05,2.22
-2.92,2.51
3.78,3.75
-1.33,7.46
3.1,5.98
0.4,7.84
-2.37,5.37
-0.13,5.88
-1.72,8.25
-1.95,8.94
-0.04,4.09
-0.12,3.99
0.0,7.44
0.67,6.89
-1.5,3.61
-1.11,7.4
-0.32,7.11
1.44,8.76
-2.38,4.98
2.89,6.18
1.58,3.76
-2.27,3.62
2.28,5.24
3.65,8.95
-1.48,2.4
-2.51,4.82
1.79,4.26
0.51,5.73
3.87,9.01
1.34,3.23
2.37,4.06
-0.4,4.49
1.9,9.8
0.53,3.08
-2.23,5.35
3.83,9.19
3.63,3.01
3.07,7.76
-0.6,9.7
-0.98,4.96
1.31,8.66
3.25,3.82
-1.68,5.84
4.19,3.81
3.74,4.84
-0.73,8.73
0.48,8.68
-0.04,3.59
0.26,6.54
-1.69,7.47
-1.31,3.14
4.92,6.7
4.29,6.25
-1.46,3.27
-2.45,2.22
4.2,6.26
1.38,9.38
2.53,2.25
-0.79,2.06
4.86,5.89
-0.04,6.02
3.92,3.98
4.22,9.89
-1.76,4.5
-2.9,2.15
-2.26,8.56
2.15,3.26
2.8,4.78
2.27,5.58
-0.91,8.71
-2.21,6.7
1.94,4.69
4.95,9.15
-0.87,3.33
-2.25,5.98
1.3,6.34
3.62,8.13
-2.68,6.8
-2.88,3.3
1.98,3.83
1.49,2.18
1.39,7.77
0.47,3.14
